trial,score,PID_KP,PID_KI,PID_KD,PID_INTEGRAL_LIMIT,YAW_DEADBAND_DEG,MAX_ROTATE_SPEED,MIN_COMMAND_SPEED,COLOR_KP_X,COLOR_KD_X,COLOR_KP_Y,COLOR_KD_Y,COLOR_DEAD_ZONE,COLOR_CENTER_EXIT_ZONE,COLOR_INPUT_FILTER_ALPHA,COLOR_COMMAND_FILTER_ALPHA,COLOR_MAX_TRACKING_SPEED,COLOR_COMMAND_RAMP_STEP,MIN_TRANSLATE_SPEED,DRIVE_MAX_DUTY,DRIVE_TRANSLATE_BIAS_DUTY,usable_samples,mean_abs_yaw_error,rms_color_error,rotate_std,vx_std,vy_std,settled,settle_time_s,steady_mean_abs_yaw_error,steady_rms_color_error,steady_rotate_std,steady_vx_std,steady_vy_std,locked_ratio,center_ratio,failure_reason
ai_round4_1,164.97397611575528,0.12,0.07,0.3,52.0,0.5,73.0,42.0,0.033,0.25,0.033,0.25,4.0,6.0,0.25,0.4,7.5,1.1,2.0,7700.0,4900.0,26.0,7.153747058823529,1.201949421011386,16.552766621934737,0.0,0.0,0.0,8.714867900000717,7.153747058823529,1.201949421011386,16.552766621934737,0.0,0.0,0.9230769230769231,0.8461538461538461,
ai_round4_2,169.35201428994048,0.12,0.07,0.35,52.0,0.5,67.0,42.0,0.033,0.25,0.033,0.25,4.0,6.0,0.25,0.4,7.5,1.1,2.0,7700.0,4900.0,28.0,6.0436,5.263454348886714,18.49324200890693,0.3317775838616304,0.5923341949181963,0.0,8.617923899999914,6.0436,5.263454348886714,18.49324200890693,0.3317775838616304,0.5923341949181963,0.7142857142857143,0.5357142857142857,
ai_round4_3,169.33347337105508,0.12,0.07,0.3,52.0,0.6,67.0,42.0,0.033,0.25,0.033,0.25,4.0,6.0,0.25,0.4,8.0,1.1,2.0,7700.0,4900.0,27.0,2.8558576923076924,11.638376666364774,28.598540927989255,0.8652163026494417,0.8494852377063022,0.0,8.51012580000006,2.8558576923076924,11.638376666364774,28.598540927989255,0.8652163026494417,0.8494852377063022,0.8148148148148148,0.48148148148148145,
ai_round5_1,191.5216341946922,0.14,0.07,0.3,52.0,0.7,73.0,42.0,0.033,0.25,0.033,0.25,4.0,6.0,0.25,0.4,7.5,1.1,2.0,7700.0,4900.0,28.0,5.015079166666667,21.807532951308062,38.41874542459709,0.780738942722645,1.286177987948664,0.0,8.516637000000264,5.015079166666667,21.807532951308062,38.41874542459709,0.780738942722645,1.286177987948664,0.8928571428571429,0.03571428571428571,
ai_round5_2,1000000.0,0.12,0.09,0.3,60.0,0.7,67.0,42.0,0.033,0.25,0.033,0.25,4.0,6.0,0.25,0.4,7.5,1.1,2.0,7700.0,4900.0,0.0,,,,,,,,,,,,,,,AI_PERTURB 执行失败，回包：'ERR AI_PERTURB_VALUE'
ai_round5_3,165.37303209850919,0.12,0.07,0.3,52.0,0.7,73.0,38.0,0.033,0.25,0.033,0.25,4.0,6.0,0.25,0.4,7.5,1.1,2.0,7700.0,4900.0,23.0,2.2410111111111113,14.28249674471451,31.607948080388766,0.5628665925941965,0.9730338708971252,0.0,8.216858899999897,2.2410111111111113,14.28249674471451,31.607948080388766,0.5628665925941965,0.9730338708971252,0.8695652173913043,0.6086956521739131,
ai_round6_1,162.6595366615467,0.12,0.07,0.3,52.0,0.7,61.0,42.0,0.033,0.25,0.033,0.25,4.0,6.0,0.25,0.4,7.5,1.1,2.0,7300.0,4600.0,26.0,3.2903153846153845,2.1771051693623122,24.176863114539312,0.0,0.0,0.0,8.66654140000046,3.2903153846153845,2.1771051693623122,24.176863114539312,0.0,0.0,0.8846153846153846,0.7307692307692307,
ai_round6_2,190.4736005912801,0.12,0.07,0.3,52.0,0.7,61.0,38.0,0.033,0.25,0.033,0.25,4.0,6.0,0.25,0.4,7.5,1.1,2.0,7700.0,4900.0,26.0,10.228675,11.178281669167381,30.13038726412906,0.5000860611141947,0.9802623407467975,0.0,8.530715899999995,10.228675,11.178281669167381,30.13038726412906,0.5000860611141947,0.9802623407467975,0.8461538461538461,0.38461538461538464,
ai_round6_3,65.76956005249406,0.14,0.07,0.3,52.0,0.7,61.0,42.0,0.033,0.25,0.033,0.25,4.0,6.0,0.25,0.4,7.5,1.1,2.0,7700.0,4900.0,29.0,3.2637346153846156,14.139513715052228,24.83275808200877,0.5737892262178355,1.0415228891087587,1.0,4.763430700000754,0.5409818181818182,4.8359449578615035,0.0,0.0,0.0,0.8620689655172413,0.5517241379310345,
ai_round7_1,1000000.0,0.14,0.07,0.3,52.0,0.7,61.0,42.0,0.033,0.25,0.033,0.25,5.0,7.0,0.25,0.4,7.5,1.1,2.0,7700.0,4900.0,0.0,,,,,,,,,,,,,,,AI_PERTURB 执行失败，回包：'ERR AI_PERTURB_VALUE'
ai_round7_2,158.22736082957388,0.14,0.07,0.3,52.0,0.7,61.0,42.0,0.033,0.25,0.033,0.25,4.0,6.0,0.25,0.4,7.0,1.1,2.0,7300.0,4600.0,28.0,1.111595238095238,4.499137225641469,26.324893162176366,0.09631439669231222,0.35844172873063784,0.0,8.545853300000635,1.111595238095238,4.499137225641469,26.324893162176366,0.09631439669231222,0.35844172873063784,0.8214285714285714,0.7857142857142857,
ai_round7_3,180.85292696319016,0.14,0.07,0.3,52.0,0.8,61.0,42.0,0.033,0.25,0.033,0.25,5.0,7.0,0.25,0.4,7.5,1.1,2.0,7700.0,4900.0,28.0,4.13035,9.149987132123874,38.768543949960254,0.8061743638307778,0.667450249196943,0.0,8.541255699999601,4.13035,9.149987132123874,38.768543949960254,0.8061743638307778,0.667450249196943,0.7857142857142857,0.5357142857142857,
ai_round8_1,177.78855835767536,0.14,0.07,0.3,52.0,0.7,55.0,42.0,0.033,0.25,0.033,0.25,4.0,6.0,0.25,0.4,7.5,1.1,2.0,7700.0,4900.0,23.0,3.42054,10.27796098635968,31.417187931807856,0.5183989078642607,1.0278244854140395,0.0,8.626072500000737,3.42054,10.27796098635968,31.417187931807856,0.5183989078642607,1.0278244854140395,0.7391304347826086,0.21739130434782608,
ai_round8_2,51.40804881673432,0.14,0.07,0.3,52.0,0.7,61.0,42.0,0.033,0.25,0.033,0.25,4.0,6.0,0.25,0.4,7.0,1.1,2.0,7500.0,4800.0,27.0,0.33132272727272727,4.658253853829782,0.0,0.39979859634646486,0.48543445247975653,1.0,3.11704490000011,0.3625583333333333,5.450696691994972,0.0,0.39838273367314614,0.5510149757997105,0.5555555555555556,0.4074074074074074,target_lost_often_but_recoverable
ai_round8_3,198.735581407699,0.14,0.07,0.35,52.0,0.7,55.0,42.0,0.033,0.25,0.033,0.25,4.0,6.0,0.25,0.4,7.5,1.1,2.0,7700.0,4900.0,24.0,9.180877777777777,17.1624998358987,37.3287757634777,0.6152139573622606,1.1609987797569912,0.0,8.624861099999725,9.180877777777777,17.1624998358987,37.3287757634777,0.6152139573622606,1.1609987797569912,0.8333333333333334,0.16666666666666666,
